,Topic,Feedback Comment,Contextual_Subtopic,Granular_Subtopic,Severity,Sentiment
147,Feature,"When we search hadith via its number then add a swipe feature while view that hadith, so we can see next hadith by swiping not by returning back and isert next number. thank you",General Feature,General Feature - Hadees Swipe Navigation Request,Low,Neutral
148,Feature,When we search the hadith by number that hadith will only come but you can improve it by scrolling or turning the next page we should get the next hadith,General Feature,General Feature - Hadees Search Navigation Improvement,Low,Neutral
149,Feature,"When we share the Hadith then only it's ""Kitab"" is mentioned. It is suggested to mention the ""Reference"" as well. While reading we can see the reference but not included once you click share button.
jazakAllah khair",General Feature,General Feature - Hadees Sharing Reference Request,Low,Neutral
150,Bug,"When you transfer data from one mobile to another mobile, the collection disappears.",General Bug,General Bug - Data Transfer Issues,Medium,Negative
151,Bug,"Whenever I click on the specific hadith to know more about it, it will go to another hadith. Also when in reading mode where hadiths are showing if we click on reference button it shows the reference of other hadith until unless we open the hadith and the",Text/Font Errors,Text/Font Errors - Hadees Reference Mismatch,Medium,Negative
152,Feature,Whenever we search any hadith with number Please show it easily,Search Functionality,Search Functionality - Hadees Search Display Issues,Low,Neutral
153,Feature,Where is Musanaf Ibn Abi Shaybah,General Feature,General Feature - Missing Musanaf Ibn Abi Shaybah,Low,Neutral
154,Feature,Where is my points ? i want to see him,General Feature,General Feature - Points Visibility Request,Low,Neutral
155,Feature,Where is sunun tirmazi book plz add kar dein,General Feature,General Feature - Missing Hadees Book Request,Low,Neutral
156,Bug,While adjusting the font size of the Arabic and Urdu Translation the app is getting stuck or hanged,App Crash/Freeze,App Crash/Freeze - Font Size Adjustment Issues,Medium,Negative
157,Feature,"While reading, the next section should appear in continuation instead of going back to main page. However there should be a change of colour or a separator that indicates the next subject.",Quran Reading Features,Quran Reading Features - Continuation Navigation Improvement,Low,Neutral
158,Feature,Whonisbthe translation for the Hadith,Translations & Tafseer,Translations & Tafseer - Hadees Translation Request,Low,Neutral
159,Feature,"Why don't you made change in Saved one. Hadiths as like complete description shown in hadith portion.. 
In Saved hadith there is less description shown of hadith I had difficulty in finding..",General Feature,General Feature - Hadees Description Enhancement,Medium,Negative
160,Other,Why,General Other,General Other - General Issues,Low,Neutral
161,Feature,Will be better  if asma urejal and jarrah o tadeel  included in hadees,General Feature,General Feature - Hadees Inclusion Request,Low,Neutral
162,Feature,With keyword search it can be easies!!,Search Functionality,Search Functionality - Keyword Search Improvement,Low,Neutral
163,UI,With some colouring effect,Visual Design,Visual Design - UI Colouring Effects,Low,Neutral
164,Feature,With transliation,Translations & Tafseer,Translations & Tafseer - Translation Feature Request,Low,Neutral
165,Other,Wonderful efforts of developer and all the team members of this app.,General Other,General Other - Positive Feedback,Low,Positive
166,Other,Wonderful experience,General Other,General Other - Positive User Experience,Low,Positive
167,Other,"Wonderful, Amazing, awesome",General Other,General Other - Positive Feedback,Low,Positive
168,Other,Wonderfull,General Other,General Other - Positive Feedback,Low,Positive
169,Bug,Word matches are not found when i searched,Search Functionality,Search Functionality - Search Result Not Found,Medium,Negative
170,Feature,Word search power should be more easy to find out any information,General Feature,General Feature - Search Functionality Improvement,Low,Neutral
171,Feature,Wording in seach in should be easy so we can search easyli and also should support romman urdu in search engine,Search Functionality,Search Functionality - Roman Urdu Search Support,Medium,Neutral
172,UI,Work on UI/UX a little more,General UI,General UI - UI/UX Improvement Request,Low,Neutral
173,Feature,Working on searching words for more easy way,General Feature,General Feature - Search Functionality Improvement,Low,Neutral
174,Bug,Worst app while it worked good on my previous mob,App Crash/Freeze,App Crash/Freeze - General Issues,Medium,Negative
175,Other,Worst,General Other,General Other - General Issues,Low,Negative
176,Feature,Would be more better if the text could be zoomed in,General Feature,General Feature - Text Zoom Request,Low,Neutral
177,Other,Wow nice 👍,General Other,General Other - General Feedback,Low,Positive
178,Other,Wow,General Other,General Other - General Issues,Low,Positive
179,Feature,Write explanation of every hadith,General Feature,General Feature - Hadees Explanation Request,Low,Neutral
180,Feature,"Write proper English Translation with no spelling mistakes, also check grammar errors. Then post hadith",Translations & Tafseer,Translations & Tafseer - English Translation Quality Issues,Medium,Neutral
181,UI,Writing is v small and difficult to read .,Visual Design,Visual Design - Text Readability Issues,Medium,Negative
182,Accuracy,Wrong pages,General Accuracy,General Accuracy - Wrong Page Issues,High,Negative
183,Other,Www,General Other,General Other - General Issues,Low,Neutral
184,Other,Wzahat nhi he,General Other,General Other - General Issues,Low,Neutral
185,Other,Y,General Other,General Other - General Issues,Low,Neutral
186,Other,Ya,General Other,General Other - General Issues,Low,Neutral
187,Accuracy,Yah Hadis Sher nahin Ho pata hai kyon,General Accuracy,General Accuracy - Hadees Verification Issues,High,Negative
188,Accuracy,Yahan k hadith number google pay search karen to match hi nhi hotay,General Accuracy,General Accuracy - Hadees Search Mismatch,Medium,Negative
189,Other,Yakub,General Other,General Other - General Issues,Low,Neutral
190,Accuracy,"Yar bhai, Bukhari: Engineer M.Ali Mirza ne masla a me discuss kia he us se different he. Aesa q he?",General Accuracy,General Accuracy - Hadees Content Discrepancy,High,Negative
191,Feature,Ye achha he ab tak pr isme hadisho ke byan or quran ke tarquman me hindi add ki jani chahiye jo jyda asan ho! Sath hi alahazrat or baki mohdhidso jinhone kitabe likhi he unko bhi asan language me yha hona chahiye pr firbhi allah apko azhar de aap achha ka,Translations & Tafseer,Translations & Tafseer - Hindi Translation Request,Medium,Positive
192,Other,Ye app boht zabardast he ma shah allah,General Other,General Other - Positive Feedback,Low,Positive
193,Other,Ye,General Other,General Other - General Issues,Low,Neutral
194,Other,Yes,General Other,General Other - General Issues,Low,Neutral
195,Feature,Yo can improve it by increasing the voice and also take features of every day from,General Feature,General Feature - Audio Volume Improvement,Low,Neutral
196,Feature,You Can Focus on hadith by topics,General Feature,General Feature - Hadees Topic Focus,Low,Neutral
197,Other,You are also doing well,General Other,General Other - Positive Feedback,Low,Positive
198,Feature,You can add صنعت of Nabi,General Feature,General Feature - Add Nabi's Industry,Low,Neutral
199,Feature,You can also asd a feature of word/ incident searching hadith,Search Functionality,Search Functionality - Hadees Search Feature Request,Low,Neutral
200,Feature,You can also improve this has been written in English,General Feature,General Feature - English Content Improvement,Low,Neutral
201,Feature,You can also put meanings  of difficult words.it'll help to understand better,Translations & Tafseer,Translations & Tafseer - Difficult Words Meanings Request,Low,Neutral
202,Feature,You can improve it further,General Feature,General Feature - General Issues,Low,Neutral
203,Feature,You can improve more like data saving extra extra many more things..,General Feature,General Feature - Data Saving Improvement Request,Low,Neutral
204,Feature,You can improve translation written in English also,Translations & Tafseer,Translations & Tafseer - English Translation Improvement,Low,Neutral
205,Other,You good,General Other,General Other - General Issues,Low,Positive
206,Feature,"You have done extremely well .but plz bring more comfort in performance approaches, so that for anyone to realize which ,what ,where the hadees is reading becomes easy ,detectable,and reachable at the same moment ,thanks.",General Feature,General Feature - Hadees Performance Improvement,Low,Positive
207,Feature,"You have remove the zoom options in hadess readings, iam requesting to add it please.",Quran Reading Features,Quran Reading Features - Hadees Zoom Feature Request,Low,Neutral
208,Feature,You improve this by good translation,Translations & Tafseer,Translations & Tafseer - Translation Improvement Request,Low,Neutral
209,Feature,You must add some feature for answering the questions we want to know,General Feature,General Feature - Question Answering Feature Request,Low,Neutral
210,Feature,You must write the lessons  we take from hadith,General Feature,General Feature - Hadees Lessons Request,Low,Neutral
211,Feature,You need add full HD quality of audio quraan,General Feature,General Feature - Audio Quality Improvement,Low,Neutral
212,Feature,You should add a separator between  hadiths. It will look good and also easy to read,General Feature,General Feature - Hadees Separator Request,Low,Neutral
213,Feature,You should also add volume>book>hadith,General Feature,General Feature - Hadees Volume Addition Request,Low,Neutral
214,Feature,You should improve the search system for hadees,Search Functionality,Search Functionality - Hadees Search Improvement,Medium,Neutral
215,Other,You,General Other,General Other - General Issues,Low,Neutral
216,Bug,Your app keeps getting crash,App Crash/Freeze,App Crash/Freeze - General Crash Issues,High,Negative
217,Feature,Your features become worse with every new update,General Feature,General Feature - General Issues,Medium,Negative
218,Feature,"Your hadith search feature is worst.. 
Its limited 
Whenever I search hadees I take help from Google ..",Search Functionality,Search Functionality - Hadees Search Limitations,Medium,Negative
219,Accuracy,Your suggests hadith is not according to my question,General Accuracy,General Accuracy - Hadees Suggestion Issues,High,Negative
220,Other,Yyy,General Other,General Other - General Issues,Low,Neutral
221,Other,Zabardast,General Other,General Other - Positive Feedback,Low,Positive
222,Other,Zain,General Other,General Other - General Issues,Low,Neutral
223,Feature,Zakath,General Feature,General Feature - Zakat Feature Request,Low,Neutral
224,Feature,Zoom in and out  again add krdy thanks,General Feature,General Feature - Zoom Functionality Request,Low,Positive
225,Feature,add roman english please,Translations & Tafseer,Translations & Tafseer - Roman English Translation Request,Low,Neutral
226,Other,bhut achha appp h mashallah,General Other,General Other - Positive Feedback,Low,Positive
227,Feature,"chapter names missing, make a sticky scroll view with ch stick on top while scrolling until new ch starts and in single hadith view also show chapter name, I know it can be seen from reference but it should be visible upfront",Quran Reading Features,Quran Reading Features - Chapter Name Visibility Issues,Low,Neutral
228,UI,difficult to find with the help of numbers,Navigation Difficulty,Navigation Difficulty - Finding Numbers Issue,Medium,Negative
229,Other,due to ahadees my queries are resolving,General Other,General Other - Hadees Query Resolution,Low,Positive
230,Other,excellent,General Other,General Other - General Feedback,Low,Positive
231,Other,excllent,General Other,General Other - General Feedback,Low,Positive
232,Accuracy,fake,General Accuracy,General Accuracy - General Issues,High,Negative
233,Other,g,General Other,General Other - General Issues,Low,Neutral
234,Other,good islamic Services provided by you,General Other,General Other - Positive Feedback on Services,Low,Positive
235,Other,good,General Other,General Other - General Positive Feedback,Low,Positive
236,Feature,hadith should have some explantion,Translations & Tafseer,Translations & Tafseer - Hadees Explanation Request,Low,Neutral
237,Other,hasem,General Other,General Other - General Issues,Low,Neutral
238,Other,hazrat abu bakar siddique ka pehly naam kya tha,General Other,General Other - Historical Figure Inquiry,Low,Neutral
239,Other,hgu,General Other,General Other - General Issues,Low,Neutral
240,Other,hindi AMMA PARA,General Other,General Other - Hindi Language Content Request,Low,Neutral
241,Feature,hindi pls....,Translations & Tafseer,Translations & Tafseer - Hindi Translation Request,Low,Neutral
242,Other,i love that,General Other,General Other - General Praise,Low,Positive
243,Feature,i wanna search it through a word and its not supporting that,Search Functionality,Search Functionality - Word Search Not Supported,Medium,Negative
244,Other,inshallah,General Other,General Other - General Issues,Low,Neutral
245,Bug,it gona something hanged majorly during language conversaion,App Crash/Freeze,App Crash/Freeze - Language Conversion Hang Issues,Medium,Negative
